"Country Name","Country Code","Indicator Name","Indicator Code","Time Period","Value","Status",
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2013","82496692944.2696",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","2014","85386052454.6362",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","1995","15946459145",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","1996","17358388000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","1997","16326258000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Japanese yen, US Dollars","RAXGFXARJPY_USD","1998","14054066412.4839",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","1995","899306785",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","1996","455638000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","1997","1206480000",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in Netherlands guilder, US Dollars","RAXGFXARNLG_USD","1998","500095866.752563",""
"Emerging and Developing Economies","200","Allocated Reserves, Claims in pounds sterling, US Dollars","RAXGFXARGBP_USD","2005","56667863754.3105",""
